iter	Passed	Remaining
439	1342	1708
440	1344	1704
441	1347	1701
442	1350	1697
443	1352	1694
444	1355	1691
445	1358	1687
446	1361	1683
447	1363	1680
448	1366	1676
449	1369	1673
450	1371	1669
451	1374	1666
452	1377	1662
453	1379	1659
454	1382	1655
455	1385	1652
456	1388	1649
457	1390	1645
458	1393	1642
459	1396	1638
460	1398	1635
461	1401	1632
462	1404	1628
463	1406	1624
464	1409	1621
465	1411	1617
466	1414	1614
467	1417	1611
468	1420	1607
469	1422	1604
470	1425	1601
471	1428	1597
472	1430	1594
473	1433	1590
474	1436	1587
475	1438	1583
476	1441	1580
477	1443	1576
478	1446	1573
479	1449	1570
480	1451	1566
481	1454	1562
482	1457	1559
483	1459	1556
484	1462	1552
485	1465	1549
486	1467	1545
487	1470	1542
488	1473	1539
489	1475	1536
490	1478	1532
491	1481	1529
492	1484	1526
493	1486	1522
494	1489	1519
495	1492	1516
496	1494	1513
497	1497	1509
498	1500	1506
499	1503	1503
500	1505	1499
501	1508	1496
502	1511	1493
503	1513	1489
504	1516	1485
505	1519	1483
506	1521	1479
507	1524	1476
508	1527	1473
509	1529	1469
510	1532	1466
511	1534	1462
512	1537	1459
513	1540	1456
514	1543	1453
515	1545	1449
516	1548	1446
517	1551	1443
518	1553	1440
519	1556	1436
520	1559	1433
521	1561	1429
522	1564	1426
523	1566	1423
524	1569	1420
525	1572	1416
526	1574	1413
527	1577	1410
528	1580	1407
529	1583	1404
530	1586	1401
531	1588	1397
532	1591	1394
533	1594	1391
534	1597	1388
535	1599	1384
536	1602	1381
537	1604	1378
538	1607	1375
539	1610	1371
540	1613	1368
541	1615	1365
542	1618	1362
543	1621	1359
544	1623	1355
545	1626	1352
546	1629	1349
547	1631	1345
548	1634	1342
549	1636	1339
550	1639	1335
551	1641	1332
552	1644	1329
553	1646	1325
554	1649	1322
555	1652	1319
556	1655	1316
557	1657	1313
558	1660	1309
559	1663	1306
560	1665	1303
561	1668	1300
562	1671	1297
563	1673	1293
564	1676	1290
565	1679	1287
566	1682	1284
567	1685	1281
568	1688	1278
569	1690	1275
570	1693	1272
571	1696	1269
572	1698	1266
573	1701	1262
574	1704	1259
575	1706	1256
576	1709	1252
577	1711	1249
578	1714	1246
579	1717	1243
580	1719	1240
581	1722	1237
582	1725	1233
583	1728	1230
584	1730	1227
585	1733	1224
586	1735	1221
587	1738	1217
588	1740	1214
589	1743	1211
590	1745	1208
591	1748	1205
592	1751	1201
593	1753	1198
594	1756	1195
595	1758	1192
596	1761	1189
597	1764	1186
598	1767	1182
599	1769	1179
600	1772	1176
601	1775	1173
602	1777	1170
603	1780	1167
604	1783	1164
605	1786	1161
606	1788	1158
607	1791	1155
608	1794	1152
609	1797	1149
610	1799	1145
611	1802	1142
612	1805	1139
613	1807	1136
614	1810	1133
615	1813	1130
616	1815	1127
617	1818	1124
618	1821	1120
619	1823	1117
620	1826	1114
621	1829	1111
622	1831	1108
623	1834	1105
624	1837	1102
625	1839	1099
626	1842	1096
627	1845	1093
628	1847	1089
629	1850	1086
630	1852	1083
631	1855	1080
632	1858	1077
633	1861	1074
634	1864	1071
635	1866	1068
636	1869	1065
637	1872	1062
638	1874	1059
639	1877	1056
640	1880	1053
641	1882	1049
642	1885	1047
643	1888	1044
644	1891	1041
645	1894	1037
646	1896	1034
647	1899	1031
648	1902	1028
649	1904	1025
650	1907	1022
651	1910	1019
652	1913	1016
653	1915	1013
654	1918	1010
655	1920	1007
656	1923	1004
657	1926	1001
658	1928	998
659	1931	994
660	1933	991
661	1936	988
662	1939	985
663	1941	982
664	1944	979
665	1946	976
666	1949	973
667	1951	970
668	1954	967
669	1957	963
670	1960	961
671	1962	958
672	1965	954
673	1968	952
674	1971	949
675	1974	946
676	1976	943
677	1979	940
678	1982	937
679	1985	934
680	1987	931
681	1990	928
682	1993	925
683	1996	922
684	1998	919
685	2001	915
686	2003	912
687	2006	909
688	2009	906
689	2011	903
690	2014	900
691	2017	897
692	2019	894
693	2022	891
694	2024	888
