iter	Logloss
0	0.5516944755
1	0.4268773861
2	0.3267312844
3	0.2657674286
4	0.2070676629
5	0.1761775181
6	0.1397938851
7	0.1215810857
8	0.1017525625
9	0.08412695496
10	0.07573809606
11	0.06632327184
12	0.05848705243
13	0.05136136686
14	0.04529882149
15	0.0413115639
16	0.03818998205
17	0.03559720018
18	0.03324450378
19	0.03157855218
20	0.02989621024
21	0.02876300117
22	0.0276626657
23	0.0266079775
24	0.02593946339
25	0.02537317527
26	0.02484685174
27	0.02420635592
28	0.02357239695
29	0.02319172372
30	0.02274807319
31	0.02256885187
32	0.0222693981
33	0.02196845649
34	0.0216435205
35	0.02141114386
36	0.02119221099
37	0.02099314433
38	0.02079934964
39	0.02063499618
40	0.02043236173
41	0.02029712942
42	0.02003860039
43	0.01996103788
44	0.01968054803
45	0.01958923429
46	0.01950808272
47	0.01941380159
48	0.01930901827
49	0.01910281139
50	0.01889046631
51	0.01880414522
52	0.01857987666
53	0.01851673501
54	0.01844030157
55	0.01821995393
56	0.0181450685
57	0.01807778442
58	0.01792816017
59	0.01787463086
60	0.01782260973
61	0.01776264919
62	0.01761808476
63	0.01756155832
64	0.01745626225
65	0.01740480973
66	0.01735525207
67	0.01729855731
68	0.01717614187
69	0.01708216438
70	0.01693489255
71	0.01687297527
72	0.01682746576
73	0.01678302669
74	0.01672801346
75	0.01662958239
76	0.01657834789
77	0.01652669743
78	0.01647628828
79	0.01643413742
80	0.01630751343
81	0.0162651226
82	0.01620058173
83	0.01616528449
84	0.01607744169
85	0.01602935582
86	0.01593320912
87	0.01587361251
88	0.01582364845
89	0.01578196745
90	0.01573004436
91	0.0156910848
92	0.01563127541
93	0.01555230615
94	0.01552455339
95	0.01548424915
96	0.01542513852
97	0.01539146063
98	0.01535236403
99	0.01525351675
100	0.01519386419
101	0.0151709335
102	0.01514049991
103	0.01509158363
104	0.01504183821
105	0.0149874494
106	0.01494613742
107	0.01483744536
108	0.01480959202
109	0.01475098218
110	0.01466406749
111	0.01460272834
112	0.01453429527
113	0.014517968
114	0.01449220864
115	0.01445830223
116	0.0144287327
117	0.01436549878
118	0.01433512588
119	0.01430875267
120	0.01423801336
121	0.01416452912
122	0.01413664077
123	0.01409259418
124	0.01405112136
125	0.01401509534
126	0.01395881849
127	0.01394058459
128	0.01390446087
129	0.01386879745
130	0.01382809721
131	0.01379975119
132	0.01378619348
133	0.01375291977
134	0.01373631456
135	0.01371336691
136	0.01369100188
137	0.01365524929
138	0.01362456667
139	0.01360448192
140	0.01355359038
141	0.01352607094
142	0.01350482733
143	0.01349297703
144	0.01344911696
